name,Stroke,Total_Tobacco_Consumption,WPM2.5,High_BMI,Dyslipdemia,Raised_Blood_Pressure,Population
Riyadh,12,392,49.00536,1241,227,249,6459480
Makkah,11,273,51.86058,992,165,291,6371590
Madinah,1,58,48.01454,306,26,129,1572705
Al Qassim,0,14,44.14183,212,16,95,1031354
Eastern Province,6,94,47.32641,681,87,150,3820585
Asir,0,60,39.71297,380,53,135,1549549
Tabuk,0,36,26.44076,177,9,13,639275
Ha'il,0,23,34.035,82,9,17,532515
Northern Borders,0,8,31.05663,38,4,9,258691
Jazan,0,34,45.1512,171,21,29,1071602
Najran,0,7,54.90682,115,12,12,410506
Al Bahah,0,15,40.56398,102,30,16,306827
Al Jawf,0,26,25.87969,106,9,22,375969