name,Hypertension,Total_Tobacco_Consumption,Dyslipdemia,Raised_Blood_Pressure,WPM2.5,Population
Riyadh,209,392,227,249,49.00536,6459480
Makkah,192,273,165,291,51.86058,6371590
Madinah,23,58,26,129,48.01454,1572705
Al Qassim,20,14,16,95,44.14183,1031354
Eastern Province,99,94,87,150,47.32641,3820585
Asir,64,60,53,135,39.71297,1549549
Tabuk,14,36,9,13,26.44076,639275
Ha'il,9,23,9,17,34.035,532515
Northern Borders,5,8,4,9,31.05663,258691
Jazan,34,34,21,29,45.1512,1071602
Najran,19,7,12,12,54.90682,410506
Al Bahah,37,15,30,16,40.56398,306827
Al Jawf,8,26,9,22,25.87969,375969